   287.000000       1.39999998    
          37          37
   1.25000000       20.0000000    
   1.25000000       20.0000000    
           4           3
          25          70          15
   IIN     XIN       REL SPACING 
        14     0.02236    -0.01869     0.00234    -0.02751
        15     0.02431    -0.02235     0.00366    -0.03144
        16     0.02640    -0.02626     0.00511    -0.03567
        17     0.02863    -0.03043     0.00668    -0.04015
        18     0.03098    -0.03487     0.00836    -0.04489
        19     0.03346    -0.03956     0.01016    -0.04990
        20     0.03607    -0.04451     0.01208    -0.05517
        21     0.03881    -0.04972     0.01411    -0.06073
        22     0.04167    -0.05517     0.01626    -0.06652
        23     0.04466    -0.06087     0.01852    -0.07257
        24     0.04776    -0.06682     0.02090    -0.07887
        25     0.05099    -0.07301     0.02338    -0.08542
        26     0.05434    -0.07943     0.02598    -0.09221
        27     0.05781    -0.08609     0.02869    -0.09925
        28     0.06139    -0.09299     0.03151    -0.10652
        29     0.06510    -0.10011     0.03444    -0.11403
        30     0.06891    -0.10746     0.03749    -0.12176
        31     0.07284    -0.11503     0.04064    -0.12973
        32     0.07688    -0.12282     0.04389    -0.13792
        33     0.08104    -0.13082     0.04726    -0.14633
        34     0.08530    -0.13903     0.05074    -0.15495
        35     0.08967    -0.14745     0.05432    -0.16378
        36     0.09415    -0.15608     0.05800    -0.17282
        37     0.09873    -0.16490     0.06180    -0.18207
        38     0.10342    -0.17392     0.06569    -0.19151
        39     0.10821    -0.18314     0.06969    -0.20115
        40     0.11310    -0.19253     0.07380    -0.21098
        41     0.11808    -0.20212     0.07800    -0.22099
        42     0.12317    -0.21188     0.08231    -0.23118
        43     0.12836    -0.22182     0.08672    -0.24156
        44     0.13363    -0.23193     0.09123    -0.25210
        45     0.13900    -0.24220     0.09583    -0.26281
        46     0.14447    -0.25264     0.10054    -0.27369
        47     0.15002    -0.26324     0.10534    -0.28473
        48     0.15566    -0.27400     0.11023    -0.29592
        49     0.16139    -0.28490     0.11523    -0.30726
        50     0.16720    -0.29595     0.12031    -0.31875
        51     0.17310    -0.30715     0.12549    -0.33038
        52     0.17908    -0.31848     0.13076    -0.34214
        53     0.18514    -0.32995     0.13612    -0.35404
        54     0.19127    -0.34154     0.14157    -0.36607
        55     0.19749    -0.35327     0.14710    -0.37822
        56     0.20377    -0.36511     0.15273    -0.39049
        57     0.21013    -0.37707     0.15844    -0.40288
        58     0.21657    -0.38915     0.16423    -0.41537
        59     0.22307    -0.40134     0.17011    -0.42797
        60     0.22964    -0.41363     0.17607    -0.44068
        61     0.23627    -0.42603     0.18211    -0.45348
        62     0.24297    -0.43852     0.18823    -0.46637
        63     0.24974    -0.45111     0.19443    -0.47935
        64     0.25656    -0.46378     0.20071    -0.49242
        65     0.26344    -0.47655     0.20706    -0.50557
        66     0.27038    -0.48939     0.21348    -0.51879
        67     0.27737    -0.50231     0.21998    -0.53209
        68     0.28442    -0.51531     0.22655    -0.54545
        69     0.29152    -0.52838     0.23318    -0.55887
        70     0.29867    -0.54151     0.23989    -0.57236
        71     0.30587    -0.55471     0.24666    -0.58590
        72     0.31311    -0.56796     0.25350    -0.59949
        73     0.32040    -0.58127     0.26040    -0.61312
